Code_Network;Name;CodeCity;Country;Continent.x;Region.x;Y;X;City.Statut;Sources.x;Years.x;Main.Key.Word.x;Additionnal.key.words.x;Network;Description.x;LeadPartnerCountry.x;Url.x;Statut.x;Start.x;End.x;Main.Key.Word;POPLAU2_2015;ID_UMZ;Name_UMZ;Pop2011
1;Porto;PT18;PT;Europe;Southern Europe;41.1579438;-8.62910529999999;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;237591;3238_1;Porto;1172360
1;Naples;IT23;IT;Europe;Southern Europe;40.8517746;14.2681244;Lead Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;978399;2430;Napoli;2435950
1;Gijon;ES16;ES;Europe;Southern Europe;43.5322015;-5.66111950000004;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;276969;1276;Gijon;276075
1;Chemnitz;DE6;DE;Europe;Western Europe;50.827845;12.9213697;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;259246;418;Chemnitz;250230
1;Maribor;SI5;SI;Europe;Southern Europe;46.5546503;15.6458812;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;112325;3496;Maribor;76325
1;Lublin;PL17;PL;Europe;Eastern Europe;51.2464536;22.5684463;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;341722;3020;Lublin;349029
1;Dubrovnik;HR1;HR;Europe;Southern Europe;42.6506606;18.0944238;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;28113;1959;Dubrovnik;42643
1;Brussels;BE4;BE;Europe;Western Europe;50.8503396;4.35171030000004;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;190880;63;Brussels;4376050
1;Caen;FR5;FR;Europe;Western Europe;49.182863;-0.370678999999996;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;107229;1588;Caen;189066
1;Genoa;IT19;IT;Europe;Southern Europe;44.4056499;8.94625599999995;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;592507;2320;Genova;618048
1;Liverpool;UK16;UK;Europe;Northern Europe;53.4083714;-2.99157260000004;Partner;http://urbact.eu;2016;Governance;Abandoned Spaces<U+00A0>;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;Governance;478600;3781;Greater Manchester;3792250
2;Leeds;UK15;UK;Europe;Northern Europe;53.8007554;-1.54907739999999;Partner;http://urbact.eu;2016;Governance ;Health;4D Cities <U+00A0>;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;Closed;2013;2015;Governance;774100;4040;Leeds;1767740
2;Igualada;ES21;ES;Europe;Southern Europe;41.5847817;1.62265379999997;Lead Partner;http://urbact.eu;2016;Governance ;Health;4D Cities <U+00A0>;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;Closed;2013;2015;Governance;39103;1287;Igualada;60580
2;Novara;IT24;IT;Europe;Southern Europe;45.44693;8.62216119999994;Partner;http://urbact.eu;2016;Governance ;Health;4D Cities <U+00A0>;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;Closed;2013;2015;Governance;104452;2439;Novara;101871
2;Plungé;LT4;LT;Europe;Northern Europe;55.920198;21.0677615;Partner;http://urbact.eu;2016;Governance ;Health;4D Cities <U+00A0>;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;Closed;2013;2015;Governance;38151;2654;Palangos (m.s.);15776
2;Tartu;EE2;EE;Europe;Northern Europe;58.3776252;26.7290063;Partner;http://urbact.eu;2016;Governance ;Health;4D Cities <U+00A0>;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;Closed;2013;2015;Governance;97332;1154;Tartu;97904
2;Jena;DE17;DE;Europe;Western Europe;50.927054;11.5892372000001;Partner;http://urbact.eu;2016;Governance ;Health;4D Cities <U+00A0>;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;Closed;2013;2015;Governance;99893;631;Jena;105129
2;Eindhoven;NL7;NL;Europe;Western Europe;51.441642;5.46972249999999;Partner;http://urbact.eu;2016;Governance ;Health;4D Cities <U+00A0>;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;Closed;2013;2015;Governance;223214;2736;Eindhoven;356198
2;Baia Sprie;RO5;RO;Europe;Eastern Europe;47.6607985;23.6977348;Partner;http://urbact.eu;2016;Governance ;Health;4D Cities <U+00A0>;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;Closed;2013;2015;Governance;16391;3263;Baia Mare;154333
3;Thessaloniki;GR19;GR;Europe;Southern Europe;40.6400629;22.9444191;Partner;http://urbact.eu;2016;Governance ;Ageing;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;Governance;30285;1948;Dimos THessalonikis;772876
3;Starogard;PL23;PL;Europe;Eastern Europe;53.7603461;15.5335135;Partner;http://urbact.eu;2016;Governance ;Ageing;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;Governance;48327;3121;Starogard Gdanski;49169
3;Prague;CZ8;CZ;Europe;Eastern Europe;50.1001396;14.4487973;Partner;http://urbact.eu;2016;Governance ;Ageing;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;Governance;1259079;254;Praha;1232510
3;Wolverhampton;UK25;UK;Europe;Northern Europe;52.586973;-2.12882000000002;Partner;http://urbact.eu;2016;Governance ;Ageing;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;Governance;249470;4039;West Midlands;2458250
3;Rome;IT36;IT;Europe;Southern Europe;41.9027835;12.4963655;Lead Partner;http://urbact.eu;2016;Governance ;Ageing;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;Governance;2872021;2514;Roma;2686600
3;Maribor;SI5;SI;Europe;Southern Europe;46.5546503;15.6458812;Partner;http://urbact.eu;2016;Governance ;Ageing;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;Governance;112325;3496;Maribor;76325
3;Dobrich;BG2;BG;Europe;Eastern Europe;43.57259;27.8272606;Partner;http://urbact.eu;2016;Governance ;Ageing;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;Governance;87817;121;Dobrich;92031
3;Edinburgh;UK10;UK;Europe;Northern Europe;55.953252;-3.188267;Partner;http://urbact.eu;2016;Governance ;Ageing;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;Governance;507170;3741;Edinburgh;484001
3;Seville;ES36;ES;Europe;Southern Europe;37.3890924;-5.98445889999994;Partner;http://urbact.eu;2016;Governance ;Ageing;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;Governance;698042;1414;Sevilla;823119
4;Skanderborg;DK3;DK;Europe;Northern Europe;56.037247;9.92979890000004;Partner;http://urbact.eu;2016;Environment ;Low Carbon;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. <U+00A0>;AT;http://urbact.eu/active-travel-network;Closed;2009;2012;Environment;18506;1136;Skanderborg;15050
4;Serres;GR18;GR;Europe;Southern Europe;41.090923;23.5413198;Partner;http://urbact.eu;2016;Environment ;Low Carbon;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. <U+00A0>;AT;http://urbact.eu/active-travel-network;Closed;2009;2012;Environment;56048;1945;Dimos Serron;60481
4;Graz;AT1;AT;Europe;Western Europe;47.070714;15.4395039999999;Partner;http://urbact.eu;2016;Environment ;Low Carbon;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. <U+00A0>;AT;http://urbact.eu/active-travel-network;Closed;2009;2012;Environment;274207;13;Graz;307974
4;Novara;IT24;IT;Europe;Southern Europe;45.44693;8.62216119999994;Partner;http://urbact.eu;2016;Environment ;Low Carbon;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. <U+00A0>;AT;http://urbact.eu/active-travel-network;Closed;2009;2012;Environment;104452;2439;Novara;101871
4;Ljutomer;SI4;SI;Europe;Southern Europe;46.5193583;16.197814;Partner;http://urbact.eu;2016;Environment ;Low Carbon;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. <U+00A0>;AT;http://urbact.eu/active-travel-network;Closed;2009;2012;Environment;11521;;;11521
4;Weiz;AT5;AT;Europe;Western Europe;47.21717;15.62297;Lead Partner;http://urbact.eu;2016;Environment ;Low Carbon;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. <U+00A0>;AT;http://urbact.eu/active-travel-network;Closed;2009;2012;Environment;11316;51;Weiz;13574
4;Norderstedt;DE24;DE;Europe;Western Europe;53.6993066;10.0008798;Partner;http://urbact.eu;2016;Environment ;Low Carbon;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. <U+00A0>;AT;http://urbact.eu/active-travel-network;Closed;2009;2012;Environment;71523;573;Hamburg;2058990
5;Fundão;PT11;PT;Europe;Southern Europe;40.137963;-7.50107730000002;Partner;http://urbact.eu;2016;Environment ;Employment;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;Ongoing;2015;2018;Environment;29213;;;29213
5;Modave;BE7;BE;Europe;Western Europe;50.433;5.3;Partner;http://urbact.eu;2016;Environment ;Employment;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;Ongoing;2015;2018;Environment;4202;;;4202
5;Baena;ES6;ES;Europe;Southern Europe;37.617362;-4.32445129999996;Lead Partner;http://urbact.eu;2016;Environment ;Employment;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;Ongoing;2015;2018;Environment;20061;;;20061
5;Cesena;IT10;IT;Europe;Southern Europe;44.1396438;12.2464292;Partner;http://urbact.eu;2016;Environment ;Employment;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;Ongoing;2015;2018;Environment;96885;2237;Cesena;95591
